,nama,harga,deskripsi,detail,link gambar,link
0,Kamuflase Dosa,"Rp.46,000 ","
          Buku mengajak kita untuk anda mengintrospeksi diri tentang tingkah laku manusia sehari-hari. Ada 54 tulian tentang introspeksi diri yang ditulis dalam buku ini.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '186 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'An-Najaa Muslim Media', 'Penulis': 'M. Nur Kholis Al Amin', 'Berat': '300 gram', 'Product Tags': ' \nagama\nan-najaa muslim media\nbuku agama\nm nur kholis al amin\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide003-cr-500x500.jpeg,https://www.solusibuku.com/agama/kamuflase-dosa.html
1,Dahsyatnya Perjalanan Kehidupan Manusia,"Rp.48,000 ","
          Ungkapan ""Urip Kuwi Mung Mampir Ngombe"", mengisyaratkan kepada kita sebagai manusia supaya tidak terlena dengan kehiduapan dunia, tetapi harus selalu 'eling' atau ingat akan kehiduapan setelah mati, agar kita bisa menyiapakan bekal cukup untuk kehidupan di akhirat.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '214 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'An-Najaa Muslim Media', 'Penulis': 'M. Nur Kholis Al Amin Dkk', 'Berat': '300 gram', 'Product Tags': ' \nagama\nan-najaa muslim media\nbuku agama\nm nur kholis al amin dkk\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide004-cr-500x500.jpeg,https://www.solusibuku.com/agama/dahsyatnya-perjalanan-kehidupan-manusia.html
2,Edisi Revisi La Tahzan Untuk Para Pencari Jodoh,"Rp.34,800 ","
          Kisah cinta antara kaum adam dan kaum hawa selalau mengandung rahasia yang tidak dapat diterka sebelum terjadi menjadi fakta. Allah merahasiakan siapa yang akan menjadi jodoh kita sampai pada akhirnya kita memahami bahwa seseorag adalah jodoh kita.Nah, untuk itu hadirlah buku ini sebagai salah satu referensi ilmu dan ajaran islam dalam hal mencari jodoh. Dalam buku ini berisi doa-doa untuk mendekatka Jodoh, Amalan agar Cepat Mendapatkan Jodoh, Cara mendapatkan Jodoh secara Islami, dan 10 Pesan Penuh Kemuliaan daroi Aidh Al-Qarni.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '208 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Riyadhus Shalihin Emka', 'Berat': '300 gram', 'Product Tags': ' \nagama\naraska publisher\nbuku agama\nriyadhus shalihin emka\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide011-cr-500x500.jpeg,https://www.solusibuku.com/agama/edisi-revisi-la-tahzan-untuk-para-pencari-jodoh.html
3,Amalan2 Dahsyat Nabi Dari Pagi Hingga Malam Hari,"Rp.34,800 ","
          Buku ini mengupas tentang rahasia hidup berkah dengan amalan pagi dan petang. Selain itu, dilengkapi dengan cara memperoleh mukjizat dan keajaiban amalan pagi, siang, sore, dan malam hari, dan menjalankan sunnah dalam kehidupan sosial. Dengan demikian, hidup penuh berkah dan rezeki melimpah senantiasa menghampiri kita. Selamat membaca!        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '208 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Ahmad Naufil', 'Berat': '300 gram', 'Product Tags': ' \nagama\nahmad naufil\naraska publisher\nbuku agama\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide039-cr-500x500.jpeg,https://www.solusibuku.com/agama/amalan2-dahsyat-nabi-dari-pagi-hingga-malam-hari.html
4,Hijrah For Muslimah,"Rp.34,800 ","
          Buku terbitan Penerbit Araska ini merupakan buku yang dipertunukan bagi perempuan. Di dalamnya dijelaskan menegai proses hijrahnya seorang perempuan dalam agama Islam.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '224 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Assyabia Nur Ariffah', 'Berat': '300 gram', 'Product Tags': ' \nagama\naraska publisher\nassyabia nur ariffah\nbuku agama\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide096-cr-500x500.jpeg,https://www.solusibuku.com/agama/hijrah-for-muslimah.html
5,Nikmat Tuhan Kamu yang Manakah yang Kamu Dustakan,"Rp.35,200 ","
          Buku karya Sabbih Assalawi memberikan kita kecerahan bagi para kaum muslimin untuk selalu bersyukur terhadap apa yang dimiliki hingga saat ini.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '219 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'Sabbih Assalawi', 'Berat': '300 gram', 'Product Tags': ' \nagama\nbrilliant books\nbuku agama\nsabbih assalawi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide161-cr-500x500.jpeg,https://www.solusibuku.com/agama/nikmat-tuhan-kamu-yang-manakah-yang-kamu-dustakan.html
6,Nikmatnya Ibadah Sunah,"Rp.50,400 ","
          Buku ini berisi panduan untuk menjalankan Ibadah Sunnah dalam Islam seperti : Sholat Dhuha,Puasa Senin-Kamis, Puasa Arafah dll. Buku dapat anda jadikan referensi untuk menjadi panduan Ibadah Sunnah anda.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '260 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Ratih Rahmawati', 'Berat': '500 gram', 'Product Tags': ' \nagama\nbuku agama\nchecklist\nratih rahmawati\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide282-cr-500x500.jpeg,https://www.solusibuku.com/agama/nikmatnya-ibadah-sunah.html
7,Praktis & Mudah Kuasai Tajwid,"Rp.57,600 ","
          Berisi materi dan pelajaran tentang tajwid, seperti nama-nama huruf hijaiyah, istilah tanda baca, tempat keluar huruf, bacaan Panjang/mad, qalqalah, dan sebagainya.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '320 halaman', 'Dimensi': '20.5x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Rohmattulloh & Megah Tinambun', 'Berat': '500 gram', 'Product Tags': ' \nagama\nbuku agama\nchecklist\nrohmattulloh & megah tinambun\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide299-cr-500x500.jpeg,https://www.solusibuku.com/agama/praktis-mudah-kuasai-tajwid.html
8,Yakin  Siap Nikah ,"Rp.53,200 ","
          Buku ini berisi ulasan tentang seluk-beluk pernikahan di dalam Islam, mulai dari penjelasan tentang keluarga, tahapan pra-nikah, hal-hal yang perlu dijaga dan dilakukan oleh calon suami/istri, manajemen konflik, manajemen keuangan keluarga, persiapan kehamilan, dan sebagainya. Didukung dengan ilustrasi yang sederhana tapi menarik dan mengena, serta ditulis dengan lugas sehingga enak dibaca. Dilengkapi pula dengan khat Arab untuk mendukung kualitas buku. Dicetak dalam format dual tone, yakni hitam dan merah.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '276 halaman', 'Dimensi': '20.5x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Vina Sri', 'Berat': '400 gram', 'Product Tags': ' \nagama\nbuku agama\nchecklist\nvina sri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide301-cr-500x500.jpeg,https://www.solusibuku.com/agama/yakin-siap-nikah.html
9,Mujizat Masih Ada,"Rp.31,200 ","
          Buku ini berisi beberapa cerita-cerita Isa Al-Masih dan beberapa ceramah para Pendeta Kristen. Buku ini dapat dijadikan referensi umat Kristiani dalam beribadah.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '138 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cv. Asfa Solution', 'Penulis': 'Agus Saputra & Pdt. Dominggus Sogalrey, Dip.Bs.', 'Berat': '400 gram', 'Product Tags': ' \nagama\nagus saputra & pdt dominggus sog\nbuku agama\ncv asfa solution\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide319-cr-500x500.jpeg,https://www.solusibuku.com/agama/mujizat-masih-ada.html
