,nama,harga,deskripsi,detail,link
0,Soekarno Sang Guru Bangsa,"Rp.31,200 ","
Buku ini merangkum segala sepak terjang Soekarno yang merupakan Bapak Pendiri Bangsa Indnoesia. Buku ini menceritakn berbagai perjuangan putra Sang Fajar ini sebagai pejuang hingga menjadi pendiri dan Presiden Republik Indonesia dari tahun 1945-1967.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '210 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Anom Whani Wicaksana', 'Berat': '300 gram', 'Product Tags': ' \nanom whani wicaksana\nbuku pengetahuan sosial\nc-klik media\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/soekarno-sang-guru-bangsa.html
1,Mohammad Hatta,"Rp.31,200 ","
Buku ini memuat tentang sepak terjang Muhammad Hatta yang karib kita kenal Bung Hatta. Buku ini memuat perjalanan Bung Hatta saat berjuang bersama pejuang kemerdekaan dalam merebut kemerdekaan hingga beliau memproklamirkan kemerdekaan dan menjadi Wakil Presiden pertama Indonesia pada tahun 1945.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '202 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Anim Whani Wicaksana', 'Berat': '300 gram', 'Product Tags': ' \nanim whani wicaksana\nbuku pengetahuan sosial\nc-klik media\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/mohammad-hatta.html
2,Bob Sadino  Kisah Perjuangan & Inspirasi,"Rp.49,600 ","
Seri KISAH, PERJUANGAN & INSPIRASI ini diterbitkan sebagai uapaya untuk menyebarkan semangat dan optimisme, seperti semangat belajar, berbisnis, meniti karir, menaklukan tantangan, dan sebagainya. Harapannya, dapat terbentuk generasi yang optimis, penuh semangat, dan pantang menyerah. Dimulai dari membangun diri sendiri, kelluarga, dan akhirnya bangsa dan negara. Semangat untuk Indonesia.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '268 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Punto Ali Fahmi', 'Berat': '600 gram', 'Product Tags': ' \nbuku pengetahuan sosial\nchecklist\npengetahuan sosial\npunto ali fahmi\n\n'}",https://www.solusibuku.com/biografi/bob-sadino-kisah-perjuangan-inspirasi.html
3,BJ Habibie  Kisah Perjuangan & Inspirasi,"Rp.45,600 ","
Seri KISAH, PERJUANGAN & INSPIRASI ini diterbitkan sebagai uapaya untuk menyebarkan semangat dan optimisme, seperti semangat belajar, berbisnis, meniti karir, menaklukan tantangan, dan sebagainya. Harapannya, dapat terbentuk generasi yang optimis, penuh semangat, dan pantang menyerah. Dimulai dari membangun diri sendiri, kelluarga, dan akhirnya bangsa dan negara. Semangat untuk Indonesia.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '248 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Weda S Atma', 'Berat': '600 gram', 'Product Tags': ' \nbuku pengetahuan sosial\nchecklist\npengetahuan sosial\nweda s atma\n\n'}",https://www.solusibuku.com/biografi/b-j-habibie-kisah-perjuangan-inspirasi.html
4,KataKata Jack Ma,"Rp.39,200 ","
Buku berisi kutipan dna kata-kata yang sering diucapkan dan dipraktikan oleh Jack MA dalam menjalankan bisnis online terbesar di dunia yakni Alibaba.com. Sebagai seorang pebisnis, Jack Ma memang senang berpikir filosofis. Itu tidak terlepas dari latar belakang kehidupannya yang hidup dalam kemiskinan, namun Jack Ma bisa bangkit dan menekuni apa yang ia senangi yakni perdagangan via online.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '156 halaman', 'Dimensi': '18x12 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Ecosystem', 'Penulis': 'Aristo Farela', 'Berat': '400 gram', 'Product Tags': ' \naristo farela\nbuku pengembangan diri\necosystem\npengembangan diri\n\n'}",https://www.solusibuku.com/biografi/kata-kata-jack-ma.html
5,Elon Musk The Real Iron Man,"Rp.40,000 ","
Buku ini penting bagi generasi milenial yang selalu menginginkan teknologi baru. Elon Musk dipandang sebagai The Next Steve Jobs yang bisa mengubah peradaban dunia.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '168 halaman', 'Dimensi': '21x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Ecosystem', 'Penulis': 'Ms Anderson', 'Berat': '400 gram', 'Product Tags': ' \nbuku pengetahuan sosial\necosystem\nms anderson\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/elon-musk-the-real-iron-man.html
6,Kurt Cobain,"Rp.55,200 ","
Buku ini adalah kisah lengkap tentang Kurt Kobain, musisi legendaris da sosok yang berpengaruh di dunia. Buku ini memberikan gambaran lengkap dan utuh tentang Kurt Kobain mulai dari Riwayat hidu, karir musik, konflik, intrik, misteri kematian, serta segala hal yang berhubungan dengan pemimpin Band Nirvana tersebut.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '288 halaman', 'Dimensi': '21x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Second Hope', 'Penulis': 'Gilbert Chocky', 'Berat': '600 gram', 'Product Tags': ' \nbuku pengetahuan sosial\ngilbert chocky\npengetahuan sosial\nsecond hope\n\n'}",https://www.solusibuku.com/biografi/kurt-cobain.html
7,Jejak Keteladanan Soekarno,"Rp.45,600 ","
Buku ini mengulas lengkap kehidupan Soekarno.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '239 halaman', 'Dimensi': '14x20 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'Sapto M. Wardoyo', 'Berat': '500 gram', 'Product Tags': ' \nbrilliant books\nbuku pengetahuan sosial\npengetahuan sosial\nsapto m wardoyo\n\n'}",https://www.solusibuku.com/biografi/jejak-keteladanan-soekarno.html
8,Gus Dur  Jejak Bijak Sang Guru Bangsa,"Rp.31,200 ","
KH. Abdurrahman Wahid atau yang akrab dengan panggilan Gus Dur lahir dari keluarga kyai di Jombang, Jawa Timur. Ia adalah sosok yang fenomenal. Ia dikenal sebagai tokoh yang langka, unik dan dikagumi oleh banyak kalangan dari dalam maupun luar negeri. Ia tidak hanya dikenal di kalangan NU dan para politikus melainkan juga oleh masyarakat luas. Ia juga dikenal sebagai sosok yang kontroversial lantaran pemikiran-pemikirannya.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '170 halaman', 'Dimensi': '13x18.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Anom Whani Wicaksana', 'Berat': '500 gram', 'Product Tags': ' \nanom whani wicaksana\nbuku pengetahuan sosial\nc-klik media\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/gus-dur-jejak-bijak-sang-guru-bangsa.html
9,JatuhBangun Bill Gates,"Rp.43,200 ","
Berisi kisah dan perjalanan hidup Bill Gates sejak ia masih kecil dan bukan siapa-siapa, hingga akhirnya dewasa dan menjadi orang terkaya di dunia. Perjalanannya tidak mulus begitu saja, melainkan mengalami jatuh bangun yang benar-benar menguji mental, termasuk masalah hukum. Bill Gates berhasil melalui hambatannya dan akhirnya berhasil meraih kesuksesan yang luar biasa.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '200 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Ervina Pitasari', 'Berat': '200 gram', 'Product Tags': ' \nbuku pengetahuan sosial\nchecklist\nervina pitasari\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/jatuh-bangun-bill-gates.html
