,nama,harga,deskripsi,detail,link
0,101 Intisari Menjual BerlipatLipat,"Rp.47,200 ","
          Buku ini  tidak hanya berkutat sekitar marketing dan selling, tapi juga tips dan trik agar berhasil dalam berjualan. Terdapat 101 point intisari menjual untuk meningkatkan kuantitas penjualan yang memaparkan langkah-langkah konkret agar penawaran berbuah omzet. Penjelasan mengenai contoh-contoh kasus serta cara yang harus dilakukan agar goal penjualan bisa tercapai.        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '262 Halaman', 'Dimensi': '14 x 20.5 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Andaliman Books', 'Berat': '300 gram', 'Product Tags': ' \nAndaliman Books\n\n'}",https://www.solusibuku.com/bisnis/101-intisari-menjual-berlipat-lipat.html
1,Kahlil Gibran Sang Nabi,"Rp.22,500 ","
          “Sang Nabi—inilah buku yang kukira mengandung pemikiran seribu tahun yang lalu, tapi aku tidak dapat menuliskannya sebuah bab pun pada kertas hingga akhir tahun lalu. Apa yang dapat kukatakan kepadamu tentang nabi ini? Ia penjelmaan kelahiranku kembali dan penghayatan yang pertama, satusatunya pandanganku yang membuatku berharga berada di bawah sinar matahari. Nabi ini sudah “tertulis” sebelum aku berusaha “menulis”-nya, yang telah menciptakan aku sebelum aku menciptakannya, dan dengan diam-diam mengajakku pergi mengikutinya sejauh dua puluh satu ribu mil sebelum ia muncul di depanku dan menyatakan keinginannya dan niatnya.”
— Kahlil Gibran dalam Surat-surat Cinta kepada May Ziadah.        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Out of Stock', 'Berat': '500 gram', 'Product Tags': ' \n buku motivasi\n gramedia\nbuku bisnis\n\n'}",https://www.solusibuku.com/bisnis/kahlil-gibran-sang-nabi.html
2,Notes From Qatar 3 Dream Do Deliver,"Rp.39,900 ","
          Notes from Qatar adalah buku best seller karya Muhammad Assad, buku ini sudah terbit dua seri yaitu Notes from Qatar 1 dan Notes from Qatar 2, dan sekarang ini terbit seri ketiga yaitu Notes From Qatar 3 dengan tag line Dream, Do, Deliver. Bagi penggemar NFQ pasti sudah hapal bahwa ciri khas NFQ selalu memiliki tagline. Untuk NFQ1 adalah 3P (Positive, Persistence, Pray) dan untuk NFQ2 adalah 3H (Honest, Humble, Helpful). Untuk NFQ3 3D ini rumus tersebut bisa diturunkan menjadi Dream + Do = Deliver. Hidup tanpa mimpi akan membuat kita tersesat, dan terlalu banyak mimpi tanpa berusaha hanya akan membuat kita berjalan di tempat. Sehingga ketiga faktor itu saling berhubungan. Jika kita mempunyai mimpi yang besar (Dream) dan mau berusaha keras untuk mewujudkan mimpi itu (Do), maka pasti akan memberikan hasil (Deliver) yang sangat dahsyat.        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku motivasi\n gramedia\nbuku bisnis\n\n'}",https://www.solusibuku.com/bisnis/notes-from-qatar-3-dream-do-deliver.html
3,Fit Focus Finish,"Rp.66,400 ","
          Buku “Fit Focus Finish” menyajikan pembahasan setiap strategi bahkan membantu Anda menentukan jumlah kepemilikan reksa dana saham yang ideal. Dilengkapi dengan data historis dan panduan analisis teknikal buku ini cocok dibaca investor maupun calon investor untuk mencapai tujuan keuangannya.        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku motivasi\n gramedia\nbuku bisnis\n\n'}",https://www.solusibuku.com/bisnis/fit-focus-finish.html
4,Beat The Market,"Rp.33,900 ","
          Hampir mustahil bagi seorang investor ritel untuk bisa mengalahkan tingkat return yang diperoleh oleh investor institusional. Nyatanya, berdasarkan pengalaman dan hal yang terjadi di lapangan banyak sekali investor saham ritel yang bisa mengalahkan tingkat return yang diperoleh oleh manajer investasi profesional dengan mengasumsikan risiko yang hampir sama. Seluruh cara dan metode yang disampaikan dalam buku ini berasal dari pengalaman para investor & trader yang sukses beat the market. Semua metode yang ada di sini adalah intisari dari berbagai cara untuk trading ataupun investing, bahkan kombinasi dari keduanya. Beat The Market and Be Proud.        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku motivasi\n gramedia\nbuku bisnis\n\n'}",https://www.solusibuku.com/bisnis/beat-the-market.html
5,Menyusun Rencana Pemasaran Gerilya Yang Unggul,"Rp.22,500 ","
          ""Kampanye pemasaran yang sukses tidak mengharuskan seorang wirausahawan menghabiskan banyak uang, tetapi lebih menekankan pada kreativitas, kecerdikan, dan pemahaman yang baik mengenai kebiasaan membeli para pelanggan.""


Seorang peritel kecil mengatakan, “Jika perusahaan besar ibarat kapal uap yang membelah lautan, maka perusahaan kecil harus bisa menjadi kapal balap yang bergerak dengan lincah mendahului kapal uap, serta mengubah arah dalam sekejap”. Hal ini haruslah menjadi keunggulan bagi perusahaan kecil sewaktu melawan sang raksasa yang mempunyai banyak uang dan sumber daya yang besar.        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku motivasi\n gramedia\nbuku bisnis\n\n'}",https://www.solusibuku.com/bisnis/menyusun-rencana-pemasaran-gerilya-yang-unggul.html
6,Cyberpreneur 12 Strategi Menjadi Kaya Di Dunia Cyber,"Rp.24,400 ","
          ""Menangkap peluang baru merupakan hal yang sangat terbuka bagi siapa pun, yang sudah sukses maupun yang belum. Jadi jangan sia-siakan peluang untuk sukses di bisnis Anda dengan tidak baca buku yang hebat ini. Baca buku ini, praktikkan, perjuangkan mimpi Anda, dan berkaryalah untuk negara kita tercinta.
Indonesia, Pasti Bisa!”
Merry Riana
Motivator Wanita No.1 di Indonesia & Asia

“Wow, ini merupakan satu-satunya buku Internet Marketing terlengkap yang pernah saya baca. Dari hulu ke hilir, semua strateginya dibongkar secara praktis dan tuntas. Dengan mempraktikkan isi buku ini, saya yakin omzet Anda akan meroket.”
Yeheskiel Zebua
Rocket Marketing Coach

“Buku ini bisa menciptakan generasi baru seperti Mark Zukerberg & Jack Ma di Indonesia.”
Bong Chandra
Entrepreneur & Best Selling Author

""Sebuah buku revolusioner yang sangat berguna bagi para entrepreneur yang ingin merambah dan memperluas ranah bisnis digital. Dengan contoh yang praktis dan bahasa yang lugas, buku ini memberikan strategi terbaik untuk mengubah dunia bisnis Anda menjadi luar biasa. Anda akan mendapatkan step by step langkah yang bisa Anda lakukan setelah Anda beli buku ini sekarang juga.""
Denny Santoso,
Entrepreneur dan Digital Marketer        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku motivasi\n gramedia\nbuku bisnis\n\n'}",https://www.solusibuku.com/bisnis/cyberpreneur-12-strategi-menjadi-kaya-di-dunia-cyber.html
7,Seri Panduan Investasi Reksa Dana Untuk Pemula 2,"Rp.57,500 ","
          Sudah menjadi investor reksa dana tapi masih punya pertanyaan, seperti:
• Bagaimana cara Manajer Investasi mengelola reksa dana?
• Apa saja hak kita sebagai investor reksa dana?
• Untuk biaya pendidikan anak, apakah asuransi pendidikan, tabungan pendidikan, atau reksa dana?
• Bagaimanakah hibah dan waris dalam reksa dana?

Dan, dengan berbagai topik lain, seperti kiat memilih reksa dana, membangun portofolio investasi, menanggapi hasil pemeringkatan dan rating reksa dana, dan perpajakan reksa dana, dapatkan pembahasannya secara komprehensif di buku ini.        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku motivasi\n gramedia\nbuku bisnis\n\n'}",https://www.solusibuku.com/bisnis/seri-panduan-investasi-reksa-dana-untuk-pemula-2.html
8,Balanced Scorecard For Business,"Rp.31,500 ","
          Pengukuran kinerja yang selama ini banyak digunakan oleh perusahaan adalah pengukuran kinerja tradisional, dengan perspektif keuangan. Seiiring dengan berkembangnya teknologi informasi dan tuntutan persaingan usaha, pengukuran kinerja dengan perspektif keuangan sudah tidak memadai lagi.
Untuk mengatasi keterbatasan yang terdapat pada pengukuran kinerja tradisional, Robert S. Kaplan dan David P. Norton memperkenalkan konsep Balanced Scorecard. Pengukuran kinerja berdasarkan konsep Balanced Scorecard ini memiliki kelebihan jika dibandingkan dengan konsep yang telah ada sebelumnya, yaitu cakupannya lebih komprehensif, di mana di samping menggunakan tolak ukur keuangan sebagai dasar pengukuran kinerja, juga menggunakan tolak ukur nonkeuangan (yang terdiri dari aspek kepuasan pelanggan, proses bisnis internal, serta aspek pertumbuhan dan pembelajaran). Yang menjadi faktor kritis bagi efektifnya Balanced Scorecard adalah adanya keselarasan antara seluruh ukuran dalam empat perspektif dengan misi dan tujuan strategis perusahaan. Balanced Scorecard memberikan sebuah kerangka kerja komprehensif yang menerjemahkan tujuan strategis perusahaan ke dalam seperangkat ukuran kinerja yang koheren. Adanya keselarasan antara keempat perspektif yang ada dalam pengukuran kinerja Balanced Scorecard dengan misi dan tujuan strategis perusahaan merupakan kunci bagi penciptaan nilai perusahaan di masa mendatang.        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku motivasi\n gramedia\nbuku bisnis\n\n'}",https://www.solusibuku.com/bisnis/balanced-scorecard-for-business.html
9,Sekali Action Langsung Eksis,"Rp.24,900 ","
          Setiap orang punya impian. Setiap ingin bekerja. Setiap orang ingin memiliki pendapatan. Setiap orang ingin omset dan profitya meningkat. Dan juga, setiap orang berharap masuk surga. Semua orang menginginkannya, benar kan? Termasuk saya dan Anda.        ","{'Kategori': 'Bisnis', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku motivasi\n gramedia\nbuku bisnis\n\n'}",https://www.solusibuku.com/bisnis/sekali-action-langsung-eksis.html
