,nama,harga,deskripsi,detail,link
0,Quran Stories For Kids,"Rp.37,200 ","
          Memberi wawasan Qurani pada anak-anak agar menjadi Muslim yang berkarakter baik dan berakhlak mulia melalui kisah fabel yang terdapat dalam Al-Qur’an dan Hadis Nabi SAW.        ","{'Kategori': 'Pengetahuan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '68 halaman', 'Dimensi': '23x15.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Bagus S. Putra', 'Berat': '300 gram', 'Product Tags': ' \naraska publisher\nbagus s putra\nbuku anak\nbuku pengetahuan anak\npengetahuan anak\n\n'}",https://www.solusibuku.com/buku-anak/quran-stories-for-kids.html
1,Binatang Laut Ensiklopedia Cerdas,"Rp.47,600 ","
Apakah kamu tahu, ada 2 laut yang airnya tidak bisa bersatu? Apakah kamu tahu jika landak laut yang katanya beracun itu dijadikan makanan di Jepang? Pasti banyak hal yang belum kamu ketahui mengenai laut dan keunikannya. Ayo jelajahi laut melalui buku Ensiklopedia Cerdas ini.
","{'Kategori': 'Pengetahuan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '100 halaman', 'Dimensi': '25x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Amazing Kids', 'Berat': '500 gram', 'Product Tags': ' \namazing kids\nbuku anak\nbuku pengetahuan anak\nc-klik media\npengetahuan anak\n\n'}",https://www.solusibuku.com/buku-anak/binatang-laut-ensiklopedia-cerdas.html
2,SGenap Buku Aktivitas Paud,"Rp.35,200 ","
Buku ini merupakan salah satu buku yang dapat dijadikan sebagai referensi untuk belajar sang buah hati untu Pendidikan Anak Usia Dini.
","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '156 halaman', 'Dimensi': '26x18.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Kak Adi Putra', 'Berat': '300 gram', 'Product Tags': ' \nbuku anak\nbuku keterampilan anak\nc-klik media\nkak adi putra\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/s-genap-buku-aktivitas-paud.html
3,99 Asmaul Husna For Kids,"Rp.55,200 ","
Buku ini disajikan dengan sangat menarik dengan menggunakan kisah-kisah singkat dalam mengenalkan sifat-sifat Allah. Sangat menyenangkan membaca cerita yang meneladani dan juga menambah pengetahuan tentang Islam, khususnya tentang Asmaul Husna.
","{'Kategori': 'Pengetahuan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '130 halaman', 'Dimensi': '17x25 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cemerlang Publishing', 'Penulis': ""Muhammad Syafi'I Masykur"", 'Berat': '300 gram', 'Product Tags': ' \nbuku anak\nbuku pengetahuan anak\ncemerlang publishing\nmuhammad syafi\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\npengetahuan anak\n\n'}",https://www.solusibuku.com/buku-anak/99-asmaul-husna-for-kids.html
4,Kumpulan Terbaik Dongeng Pengantar Tidur Sepanjang Masa,"Rp.71,200 ","
          Buku ini berisi 41 dongeng pengantar tidur terbaik yang sangat menyenangkan dan disajikan dengan ilustrasi yang sudah pasti membuat anak bahagia melihatnya.        ","{'Kategori': 'Cerita Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '180 halaman', 'Dimensi': '19x26 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cemerlang Publishing', 'Penulis': 'Elshabrina', 'Berat': '400 gram', 'Product Tags': ' \nbuku anak\nbuku cerita anak\ncemerlang publishing\ncerita anak\nelshabrina\n\n'}",https://www.solusibuku.com/buku-anak/kumpulan-terbaik-dongeng-pengantar-tidur-sepanjang-masa.html
5,Super Seru Mewarnai Untuk Anak 3 Tahun,"Rp.31,200 ","
          Buku ini disusun khusus untuk anak 3 tahun dengan ilustrasi yang sangat menarik. mudah untuk diwarnai anak-anak, dan ada bonus stiker yang akan membuat anak lebih aktif dan bahagia.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '38 halaman', 'Dimensi': '25.5x18.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cemerlang Publishing', 'Penulis': 'Kak Bambang', 'Berat': '400 gram', 'Product Tags': ' \nbuku anak\nbuku keterampilan anak\ncemerlang publishing\nkak bambang\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/super-seru-mewarnai-untuk-anak-3-tahun.html
6,2 Tahun Super Seru Mewarnai Untuk Anak,"Rp.31,200 ","
Buku ini disusun khusus untuk anak 2 tahun dengan ilustrasi yang sangat menarik. mudah untuk diwarnai anak-anak, dan ada bonus stiker yang akan membuat anak lebih aktif dan bahagia.
","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '38 halaman', 'Dimensi': '25.5x18.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cemerlang Publishing', 'Penulis': 'Kak Bambang', 'Berat': '400 gram', 'Product Tags': ' \nbuku anak\nbuku keterampilan anak\ncemerlang publishing\nkak bambang\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/2-tahun-super-seru-mewarnai-untuk-anak.html
7,Aku Jago Baca,"Rp.33,600 ","
          Buku ini bisa menjadi solusi yang sangat layak diberikan kepada anak pada saat anak masih duduk di PAUD atau TK, mereka sangat ingin bermain. Dengan cara bermain dan bersenang-senang, buku ini mendekatkan anak agar anak bisa bermain sekaligus belajar membaca dengan metode yang sangta praktis dan menyenangkan.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '64 halaman', 'Dimensi': '26x18.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cemerlang Publishing', 'Penulis': 'Kak Bambang', 'Berat': '600 gram', 'Product Tags': ' \nbuku anak\nbuku keterampilan anak\ncemerlang publishing\nkak bambang\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/aku-jago-baca.html
8,Mobil Super Seru Super Sticker Book,"Rp.36,000 ","
          Buku ini adalah panduan praktis untuk memperkenalkan aktivitas membaca kepada anak, menulis dan berhitung pada anak usia dini. Metode yang diterapkan dalam buku ini adalah metofde belajar sambil bermain.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '32 halaman', 'Dimensi': '17x24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Charissa Publisher', 'Penulis': 'Kak Cika', 'Berat': '400 gram', 'Product Tags': ' \nbuku anak\nbuku keterampilan anak\ncharissa publisher\nkak cika\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/mobil-super-seru-super-sticker-book.html
9,Buah & Sayur Super Seru Super Sticker Book,"Rp.36,000 ","
Buku ini dapat dijadikan referensi anak untuk dapat mengembangan pengtahuannya umumnya dengan bermain dan belajar melalui media gambar.
","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '32 halaman', 'Dimensi': '17x24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Charissa Publisher', 'Penulis': 'Kak Cika', 'Berat': '400 gram', 'Product Tags': ' \nbuku anak\nbuku keterampilan anak\ncharissa publisher\nkak cika\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/buah-sayur-super-seru-super-sticker-book.html
