,Kategori,Nama Produk,Deskripsi Produk,SKU Induk,Produk Berbahaya,Kode Integrasi Variasi,Nama Variasi 1,Varian untuk Variasi 1,Foto Produk per Varian,Nama Variasi 2,Varian untuk Variasi 2,Harga,Stok,Kode Variasi,Panduan Ukuran,Foto Sampul,Foto Produk 1,Foto Produk 2,Foto Produk 3,Foto Produk 4,Foto Produk 5,Foto Produk 6,Foto Produk 7,Foto Produk 8,Berat,Panjang,Lebar,Tinggi,Reguler (Cashless),Hemat,Jangka Dikirim Dalam Pre-order,Dikirim Dalam Pre-order,Merek,Negara Asal,Masa Garansi,Jenis Garansi,Perusahaan Penerbit,Negara,Bahasa,Impor/Lokal,Terbit,ISBN,Jenis Edisi,Kota,Jenis Cover,Tahun
0,,Lost World,"
Tahun 3027, Perang Dunia III yang terjadi bertahun-tahun silam membawa dampak yang begitu besar pada dunia. Dua kubu organisasi tercipta: Zystrome yang memegang teguh nilai persatuan, kesatuan, kekeluargaan dan toleransi antar berbagai bangsa dan negara di dunia, serta Cloakship yang begitu tiran. Dunia tidak lagi seaman dulu, militer Zystrome berada di mana-mana, pemberontakan seringkali terjadi, hingga teror-teror dari musuh setiap tahunnya. Seorang remaja 15 tahun terjebak di salah satu markas Zystrome dan menjadi kunci terungkapnya misteri lain. Hidupnya tak pernah sama lagi semenjak ia tak sengaja terjebak di sana, diikuti peristiwa lain yang juga muncul.
",,,,,,,,,70399,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide118-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide118-cr-500x500.jpeg,,,,,,,,600,20.0,14.0,4.44,,,,,0,,,,Aria Media Mandiri,,Bahasa Indonesia,,,,,,,
1,,Believe,"
Buku ini adalah novel fiksi dengan cerita remaja yang digambarkan cukup menarik. Pada akhirya sebuah kepercayaan dan kenyakinan lah yang dapat mengantarkan seseorang menemukan cintanya.
",,,,,,,,,51999,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide119-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide119-cr-500x500.jpeg,,,,,,,,400,13.0,19.0,2.98,,,,,0,,,,Aria Media Mandiri,,Bahasa Indonesia,,,,,,,
2,,I Love My Badboy,"
Buku terbitan Aria Media ini adalah karangan Nat Natasya yang mendapatkan Wattpad Recomended. Cerita dalam buku ini bercerita tentang bagaimana seorang wanita mempertahankan cintanya kepada seorang laki-laki yang tidak diinginkan oleh kedua orang tuanya, dan menghendaki untuk menjodohkannya dengan pria yang lain.
",,,,,,,,,51999,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide120-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide120-cr-500x500.jpeg,,,,,,,,400,13.0,19.0,3.2600000000000002,,,,,0,,,,Aria Media Mandiri,,Bahasa Indonesia,,,,,,,
3,,Dreaming Alone,"
Buku ini adalah novel cerita remaja (Teenlit) yang bercerita tentang mimpi yang dijalani seorang diri sesuai dengan judulnya. Dreaming Alone. Novel ini direkomendasikan oleh laman cerita Wattpad dan telah mendapatkan berbagai respon baik dari pembaca Wattpad. Novel ini sangat cocok untuk para remaja yang ingin belajar dan membaca mengenai cerita remaja
",,,,,,,,,51999,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide121-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide121-cr-500x500.jpeg,,,,,,,,300,13.0,19.0,2.62,,,,,0,,,,Aria Media Mandiri,,Bahasa Indonesia,,,,,,,
4,,Broken,"
Buku karangan Lilis Suryani ini berisim 34 Bab cerita dimana di dalamnya terdapat berbagai rangkaian cerita yang nyambung satu sama lain. Kumpulan ceita ini sebelumnya dimuat dalam jejaring sosial Wattpad. Kumpulan cerita Lilis juga termasuk dalam Recommended Wattpad sebagai tulisan yang layak untuk dibaca dan diikuti.
",,,,,,,,,63199,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide122-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide122-cr-500x500.jpeg,,,,,,,,500,13.0,19.0,4.0200000000000005,,,,,0,,,,Aria Media Mandiri,,Bahasa Indonesia,,,,,,,
5,,Fearless,"
It's not about being unafraid, it's about being fearless."" Buku ini adalah novel fantasi dari terjemahan karya Queen Rex yang menceritakan tentang perang dunia pada abad 30-an atau tahun 3000-an. Dalam fantasi cerita itu, diceritakan tentang teknologi yang telah lenyap dan digantikan oleh penemuan seorang Profesor yang dapat membangkitakn sistem saraf manusia yang telah mati. Akibatnya, terjadi perselisihan antar kelompok yang terjadi di seluruh penjuru dunia.
",,,,,,,,,70399,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide123-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide123-cr-500x500.jpeg,,,,,,,,500,13.0,19.0,4.68,,,,,0,,,,Aria Media Mandiri,,Bahasa Indonesia,,,,,,,
6,,Dieser Mann,"
Buku ini mengisahkan seorang mafia tampan yang kaya raya bernama Diftan Pablo Glambert. Pria berusia 30 tahun ini tidak mempercayai cinta. Masa lalu yang kelam menjadikannya sosok pria jahat dan dingin kepada semua orang. Hingga suatu ketika takdir mempertemukan Diftan dengan seorang Arabella, perempuan yang mengubah hidupnya.
",,,,,,,,,70399,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide124-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide124-cr-500x500.jpeg,,,,,,,,600,13.0,19.0,4.84,,,,,0,,,,Aria Media Mandiri,,Bahasa Indonesia,,,,,,,
7,,Panilaran,"
          Panilaran adalah novel yang ditulis oleh penulis muda. Odilia Melisa. Buku ini bercerita tentang kisah horor yang dialami seseorang di masa mudanya. Ditulis dengan gaya bahasa yang renyah dan enak dibaca. Kisah horor di cerita ini diselingi dengan dialog cerita sehari-hari khas anak muda.        ",,,,,,,,,39199,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide126-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide126-cr-500x500.jpeg,,,,,,,,200,13.0,19.0,1.6,,,,,0,,,,Aria Media Mandiri,,Bahasa Indonesia,,,,,,,
8,,Antologi Mimpi,"
          Buku ini berisi kumpulan puisi Anna yang diberi judul Antologi Mimpi.        ",,,,,,,,,31199,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide127-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide127-cr-500x500.jpeg,,,,,,,,200,13.0,19.0,1.1,,,,,0,,,,Aria Media Mandiri,,Bahasa Indonesia,,,,,,,
9,,Antologi Segumpal Daging,"
          Buku ini berisi kumpulan cerita pendek bertema sosial.        ",,,,,,,,,55999,99,,,https://www.solusibuku.com/image/c/data/produk/2017/Slide138-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/produk/2017/Slide138-cr-500x500.jpeg,,,,,,,,300,14.0,20.5,2.08,,,,,0,,,,Azka Perssindo,,Bahasa Indonesia,,,,,,,
