,nama,harga,deskripsi,detail,link gambar,link
0,99 Tembang Kenangan Era 70An,"Rp.40,000 ","
          Buku ini berisi tembang kenangan era 70an.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '104 halaman', 'Dimensi': '21x29 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Chivita Books', 'Penulis': 'Joey Alexander Deandre,Ss', 'Berat': '400 gram', 'Product Tags': ' \nbuku hobi\nchivita books\nhobi\njoey alexander deandress\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide312-cr-500x500.jpeg,https://www.solusibuku.com/hobi/99-tembang-kenangan-era-70an.html
1,Update Belajar Gitar Dengan Lagu Populer,"Rp.24,400 ","
          Buku ini berisi lagu-lagu terpopuler dan terbaru yang banyak menjadi favorit bagi semua kalangan, terutama anak muda. Buku ini juga dilengkapi dengan skema dan foto chord gitar sehingga mudah untuk diikuti dan dipraktikkan.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '64 halaman', 'Dimensi': '26x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Galmas', 'Penulis': 'Tim Redaksi', 'Berat': '500 gram', 'Product Tags': ' \nbuku hobi\ngalmas\nhobi\ntim redaksi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide425-cr-500x500.jpeg,https://www.solusibuku.com/hobi/update-belajar-gitar-dengan-lagu-populer.html
2,Master Chord Gitar,"Rp.43,200 ","
          Buku ini dilengkapi dengan Chord Keyboard dan Piano sehingga dapat untuk dijadikan bahan untuk belajar piano secara otodidak. Dalam setiap chord Gitar maupun Keyboardnya disertai gambar da penekana yang jelad terhadap senar gitar maupun tuts piano.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '178 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Yanita', 'Penulis': 'Kiki Laisa', 'Berat': '500 gram', 'Product Tags': ' \nbuku hobi\nhobi\nkiki laisa\nyanita\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide592-cr-500x500.jpeg,https://www.solusibuku.com/hobi/master-chord-gitar.html
3,Trik Cepat Belajar Pianika Dan Recorder Tanpa Guru,"Rp.36,800 ","
          Buku ini menyajikan teori, praktek, dan juga latihan bermain pianika dan recorder. Dengan perpaduan pengetahuan teori,praktek, dan latihan ini kamu akan sangat mudah untuk menguasai permainan pianika dan recorder. Latihan lagu yang disajikan dalam buku ini juga sangat beragam, mulai dari lagu wajib, daerah, lagu anak populer juga mancanegara.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '116 halaman', 'Dimensi': '15x23 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Yanita', 'Penulis': 'Adi Jarot Pamungkas', 'Berat': '500 gram', 'Product Tags': ' \nadi jarot pamungkas\nbuku hobi\nhobi\nyanita\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide596-cr-500x500.jpeg,https://www.solusibuku.com/hobi/trik-cepat-belajar-pianika-dan-recorder-tanpa-guru.html
4,Trik No1 Jago Main Piano,"Rp.65,600 ","
          Buku ini akan membantu kalian untuk menjadi pianis anda, lakukalah langkah demi langkah dari buku ini untuk belajar piano. Dan rajin-rajin lha untuk berlatih belajar dengan piano..        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '110 halaman', 'Dimensi': '21x29 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Yanita', 'Penulis': 'Kiki Laisa', 'Berat': '600 gram', 'Product Tags': ' \nbuku hobi\nhobi\nkiki laisa\nyanita\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide597-cr-500x500.jpeg,https://www.solusibuku.com/hobi/trik-no-1-jago-main-piano.html
5,Musik Playlist 13,"Rp.49,600 ","
          Buku ini berisi berbagai macam jenis musik dan lagu. Dapat anda jadikan sebagai bacaan referensi dalam melatih skill bermusik atau sekedar bernyanyi. Buku ini berisi musik-musik populer barat yang sering Anda dengarkan.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '114 halaman', 'Dimensi': '21x29 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Yanita', 'Penulis': 'Yeyen Subiakto', 'Berat': '400 gram', 'Product Tags': ' \nbuku hobi\nhobi\nyanita\nyeyen subiakto\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide601-cr-500x500.jpeg,https://www.solusibuku.com/hobi/musik-playlist-13.html
6,Bekalku Aneka Inspirasi Resep Untuk Bekal Anak Sekolah,"Rp.36,000 ","
          Membawakan bekal untuk anak-anak ke sekolah merupakan salah satu hal positif yang perlu dibiasakan. Selain untuk memangkas pengeluaran uang jajan anak, Ibu juga dapat menjaga anak agar tetap makan makanan sehat. Bekal dengan aneka bentuk yang lucu ala bento akan menarik minat anak untuk menyantapnya. Di dalam buku ini, terdapat 50 resep dan ide kreasi bekal untuk anak-anak. Aneka resep simpel dengan bahan-bahan yang sederhana dan mudah dipraktikkan. Dengan buku ini, Ibu dapat membuat bekal dengan tiga bahan utama, yaitu nasi, mi, dan roti dengan aneka bentuk unik yang disukai anak-anak.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '88 halaman', 'Dimensi': '17x24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Trans Idea Publishing', 'Penulis': 'Dewi Surani', 'Berat': '500 gram', 'Product Tags': ' \nbuku hobi\ndewi surani\nhobi\ntrans idea publishing\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide061-cr-500x500.jpeg,https://www.solusibuku.com/hobi/bekalku-aneka-inspirasi-resep-untuk-bekal-anak-sekolah.html
7,Bts To All The Youngsters Without Dreams,"Rp.79,200 ","
          “BTS-To All The Youngsters Without Dreams” menjelaskan perjalanan BTS dari sebelum debut hingga pada akhirnya menjadi salah satu figur yang paling berpengaruh di era ini.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '282 halaman', 'Dimensi': '14x20 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Shifra Lushka', 'Berat': '500 gram', 'Product Tags': ' \naria media mandiri\nbuku hobi\nhobi\nshifra lushka\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide070-cr-500x500.jpeg,https://www.solusibuku.com/hobi/bts-to-all-the-youngsters-without-dreams.html
8,Jagoan No1 Menggambar Dengan Pensil,"Rp.44,000 ","
          Buku ini mengajarkanmu banyak hal, mulai dari cara menggambar bentuk makhluk hidup, benda, alam, dan suasana. Selain itu, buku ini juga mengajarkan prinsip-prinsip dasar dan pengenalan mengenai teknik menggambar dengan gaya gambar realistik sehingga dapat digunakan sebagai panduan menggambar dan juga sebagai referensi dalam studi seni rupa, khususnya dalam studi gambar-menggambar. Buku ini juga menyematkan banyak contoh sketsa beserta contoh langkah-langkah menggambar yang akan membuatmu berpikir bahwa menggambar dengan pensil itu menyenangkan.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '154 halaman', 'Dimensi': '19x26 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Media Cerdas', 'Penulis': 'C. Hariadi', 'Berat': '500 gram', 'Product Tags': ' \nbuku hobi\nc hariadi\nhobi\nmedia cerdas\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide077-cr-500x500.jpeg,https://www.solusibuku.com/hobi/jagoan-no-1-menggambar-dengan-pensil.html
9,Jago Bermain Violin Otodidak,"Rp.47,200 ","
          Buku ini berisi teori dasar musik, teknik dasar bermain violin, hingga latihan-latihan lagu yang sangat variatif, dimulai dari tahapan yang sederhana, hingga tahapan yang kompleks. Semua disajikan dengan cara yang sederhana agar mudah dipelajari dan dimainkan. Sehingga buku ini tidak akan membuat bingung dan membosankan dalam belajar bermain violin.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '144 halaman', 'Dimensi': '19x26 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Akmal Mulyadi', 'Berat': '500 gram', 'Product Tags': ' \nakmal mulyadi\nbuku hobi\nc-klik media\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide198-cr-500x500.jpeg,https://www.solusibuku.com/hobi/jago-bermain-violin-otodidak.html
