,nama,harga,deskripsi,detail,link gambar,link
0,Trik Kilat KuasaiBahasa Inggris untuk Pariwisata & Perhotelan,"Rp.30,800 ","
          Buku dibuat untuk meprmudah bagi para penggiat pariwisata untuk menguasai Bahasa Inggris. Di dalamnya berisi panduan untuk memandu wisatawan lengkap dengan percakapan-percakapan di setiap kondisi, sepertisaat menukarkan uang, memilih kamar hotel, atau berbelanja.        ","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '164 halaman', 'Dimensi': '20.5x14.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Mr. Setiawan Agung Pamungkas', 'Berat': '200 gram', 'Product Tags': ' \naraska publisher\nbuku kamus\nkamus\nmr setiawan agung pamungkas\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide067-cr-500x500.jpeg,https://www.solusibuku.com/kamus/trik-kilat-kuasaibahasa-inggris-untuk-pariwisata-perhotelan.html
1,Ed Terbaru Uud 1945 & Amandemennya,"Rp.28,000 ","
          Ini adalah Buku Undang-Undang Dasar 1945 & Amandemennya dengan cover terbaru...        ","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '171 halaman', 'Dimensi': '15x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Bright Publisher', 'Penulis': 'Bright Learning Center', 'Berat': '200 gram', 'Product Tags': ' \nbright learning center\nbright publisher\nbuku kamus\nkamus\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide144-cr-500x500.jpeg,https://www.solusibuku.com/kamus/ed-terbaru-uud-1945-amandemennya.html
2,Percakapan Bahasa Inggris Simple Fun And Easy,"Rp.39,200 ","
Buku ini hadir dengan deretan kosa kata yang akan memperkaya perbendaharaan kata, contoh percakapan yang memberikan pola bagaimana kata-kata tersebut digunakan dalam percakapan sehari-hari, dan contoh latihan yang membantu pembelajar mengingat pembelajaran sebelumnya
","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '300 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Bright Publisher', 'Penulis': 'Bright Learning Center', 'Berat': '400 gram', 'Product Tags': ' \nbright learning center\nbright publisher\nbuku kamus\nkamus\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide148-cr-500x500.jpeg,https://www.solusibuku.com/kamus/percakapan-bahasa-inggris-simple-fun-and-easy.html
3,Pakar No 1 Tes Masuk Kerja,"Rp.79,600 ","
          Buku ini adalah referensi dari berbagai langkah dalam menghadapi tes kerja mulau dari Membuat Surat Lamaran, Membuat CV, mengerjakan soal-soal Psikotes hingga menghadapi wawancara kerja. Persaingan kerja yang ketat dalam dunia kerja menuntut anda memenuhi standar kualifikasi yang dibutuhkkan oleh lembaga anda bekerja.        ","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '408 halaman', 'Dimensi': '24x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'Briliant', 'Berat': '500 gram', 'Product Tags': ' \nbriliant\nbrilliant books\nbuku kamus\nkamus\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide154-cr-500x500.jpeg,https://www.solusibuku.com/kamus/pakar-no-1-tes-masuk-kerja.html
4,Simple Grammar For An Elementary School,"Rp.27,200 ","
          Buku ini memuat bahasan tentang bagaimana belajar grammar bahasa Inggris yang baik untuk anak SMP. Di dalamnya menjelaskan beberapa materi, seperti verb (Kata Kerja), noun (Kta Benda), pronoun (Kata Ganti), adverb (Kata Keterangan), adjective (Kata Sifat), articles (Kata Sandang).        ","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '172 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'Alzenia Putri', 'Berat': '300 gram', 'Product Tags': ' \nalzenia putri\nbrilliant books\nbuku kamus\nkamus\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide163-cr-500x500.jpeg,https://www.solusibuku.com/kamus/simple-grammar-for-an-elementary-school.html
5,Superlengkap Pedoman Umum Ebi,"Rp.31,200 ","
          Buku ini berisi materi umum tentang Pedomam Umum tentang Ejaan Bahasa Indonesia (EBI) yang lengkap dan komprehensif. Selai itu, buku ini juga dilengkapi dengan materi pendukung yang dapat memperkaya ilmu pembaca seputar pengetahuan berbahasa Indonesia. Materi pendukung berisi antara lain; pantun, peribahasa, majas, puisi, dan kesalhan berbahasa.        ","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '200 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Caesar Media Pustaka', 'Penulis': 'Redaksi Caesar', 'Berat': '300 gram', 'Product Tags': ' \nbuku kamus\ncaesar media pustaka\nkamus\nredaksi caesar\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide185-cr-500x500.jpeg,https://www.solusibuku.com/kamus/superlengkap-pedoman-umum-ebi.html
6,Master Pocket Conversation,"Rp.47,200 ","
          Master Pocket Conversation merupakan buku wajib bagi anda yang akan belajar percakapan bahasa Inggris sehari-hari karena bukuini dikemas dengan simpel, praktis, dan tuntas. Adapun daftar isi dari buku ini meliputi; ungkapan dasar dalam bahasa Inggris, Ungkapan Umum, 16 tenses bahasa inggris dan contohnya, Daftar kosakata penitng bahasa inggris, Phrasal dan Iregular Verb dan bonus aplikasi Android TOEIC da TOEFL.        ","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '429 halaman', 'Dimensi': '11x18 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cemerlang Publishing', 'Penulis': 'Achmad Fanani, S.S', 'Berat': '500 gram', 'Product Tags': ' \nachmad fanani ss\nbuku kamus\ncemerlang publishing\nkamus\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide188-cr-500x500.jpeg,https://www.solusibuku.com/kamus/master-pocket-conversation.html
7,Bahasa Jepang Super Simple Cara Praktis Kuasai,"Rp.31,200 ","
          Bahasa Jepang adalah bahasa dunia yang tidak bisa disepelakan lagi peranannya. Mengapa demikian, sebab peranan negara Jepang dalam dunia ekonomi, pendidikan, dan teknologi memang tidak bisa dipungkiri lagi. Jepang merupakan negara maju yang tidak bisa kita anggap remeh oleh negara-negara maju lain. Oleh sebab itu, untuk bisa mentransformasi ilmu dan kekuatan Jepang baik itu dari sisi teknologi, sains, dan kebudayaan kita wajib bisa menguasai bahasa Jepang dengan baik. Tanpa menguasai bahasanya mustahil kita bisa belajar dari kesuksesan negeri matahari terbit ini.        ","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '211 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cemerlang Publishing', 'Penulis': 'Setiawan Agung Pamungkas', 'Berat': '400 gram', 'Product Tags': ' \nbuku kamus\ncemerlang publishing\nkamus\nsetiawan agung pamungkas\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide201-cr-500x500.jpeg,https://www.solusibuku.com/kamus/bahasa-jepang-super-simple-cara-praktis-kuasai.html
8,Bahasa Korea Super Simple Cara Praktis Kuasai,"Rp.34,400 ","
          Buku ini berisi solusi praktis menguasai dasar-dasar tata bahasanya Korea lengkap dengan huruf Hangul (Huruf Korea), cara membacanya dan contoh-contoh kalimat. Penjelasan yang singkat dan jelas sehingga mudah dimengerti, bahkan bagi anda yang baru pertama kali mengenal Bahasa Korea.        ","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '233 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cemerlang Publishing', 'Penulis': 'Setiawan Agung Pamungkas', 'Berat': '400 gram', 'Product Tags': ' \nbuku kamus\ncemerlang publishing\nkamus\nsetiawan agung pamungkas\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide202-cr-500x500.jpeg,https://www.solusibuku.com/kamus/bahasa-korea-super-simple-cara-praktis-kuasai.html
9,Bahasa Inggris Super Simple Cara Praktis Kuasai,"Rp.31,200 ","
          Buku ini dibuat berdasarkan format materi pelajaran per hari, dari hari pertama sampai dengan hari ke sembilan belas dengan disertai latihan-latihan soal dan tambahan label perubahan kata kerja yang tidak beraturan (ireguar verbs) yang sering digunakan dalm kalimat dan percakapan sehari-hari.        ","{'Kategori': 'Kamus', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '240 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cemerlang Publishing', 'Penulis': 'Setiawan Agung Pamungkas', 'Berat': '400 gram', 'Product Tags': ' \nbuku kamus\ncemerlang publishing\nkamus\nsetiawan agung pamungkas\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide203-cr-500x500.jpeg,https://www.solusibuku.com/kamus/bahasa-inggris-super-simple-cara-praktis-kuasai.html
