,nama,harga,deskripsi,detail,link gambar,link
0,Buku Pintar Kebidanan Dan Keperawatan,"Rp.54,320 ","
          Buku ini lahir sebagai referensi untuk mempelajari ruang lingkup kebidanan dan keperawatan. Didalamnya disajikan secara lengkap mengenai pengtahuan dan hal -hal yang terkait dengan ilmu kebidanan dan keperawatan.        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '296 halaman', 'Dimensi': '23x15 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'Yuspita Dwi Maharani', 'Berat': '400 gram', 'Product Tags': ' \nbrilliant books\nbuku kesehatan\nkesehatan\nyuspita dwi maharani\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide153-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/buku-pintar-kebidanan-dan-keperawatan.html
1,Terapi Herbal Buah & Sayuran Untuk 10 Penyakit Berbahaya,"Rp.51,600 ","
          Buku ini hadir memberikan informasi seputar keampuhan tanaman herbal, buah dan sayuran dalam menumpas penyakit. Penjelasan dalam buku ini disusun berdasarkan pada pengalaman banyak orang dan uji klinis yang telah membuktikan khasiat dari tanaman herbal, buah dan sayuran dalam menumpas 10 penyakit utama yaitu: Diabetes, Kolesterol, Jantung, Asam urat, Kangker, Ginjal, Hipertensi, Liver, Osteoporosis dan Wasir.        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '136 halaman', 'Dimensi': '23x15 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Galmas', 'Penulis': 'Yustina Dwi Rusita', 'Berat': '600 gram', 'Product Tags': ' \nbuku kesehatan\ngalmas\nkesehatan\nyustina dwi rusita\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide426-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/terapi-herbal-buah-sayuran-untuk-10-penyakit-berbahaya.html
2,Sehat Dengan Resep Rumahan Ala Golongan Darah,"Rp.48,000 ","
          Buku Sehat dengan Resep Rumahan Ala Golongan Darah menghadirkan berbagai macam menu masakan, camilan, dan minuman yang sesuai dengan jenis golongan darah. Resep-resep yang dihidangkan berasal dari bahan makanan yang sangat mudah didapat, jadi bisa langsung dipraktikkan. Di dalam buku ini juga terdapat daftar penggolongan makanan yang memberikan manfaat dan makanan yang dihindari bagi masing-masing golongan darah. Dengan buku ini Anda bisa mengatur pola makan yang sesuai dengan golongan darah Anda. Makanan yang memiliki gizi seimbang membuat tubuh Anda sehat dan terhindar dari berbagai macam penyakit.        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '107 halaman', 'Dimensi': '17x24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Trans Idea Publishing', 'Penulis': 'Fatonah Winiarum', 'Berat': '500 gram', 'Product Tags': ' \nbuku kesehatan\nfatonah winiarum\nkesehatan\ntrans idea publishing\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide110-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/sehat-dengan-resep-rumahan-ala-golongan-darah.html
3,Fakta Buah & Sayur Beracun,"Rp.71,200 ","
          Buah dan sayuran memiliki banyak nutrisi dan zat yang sangat bermanfaat untuk tubuh kita. Bahkan, dari hasil banyak penelitian, buah dan sayuran juga bisa menyembuhkan berbagai penyakit ganas seperti kanker, diabetes, jantung, dan lain-lain. Tapi, tahukah Anda bahwa setiap buah dan sayuran juga mengandung zat berbahaya bagi tubuh kita. Cara pengolahan atau cara memakan buah atau sayuran yang salah bisa menyebabkan hal-hal buruk bagi tubuh kita, bahkan bisa menyebabkan kematian. Buku ini mengupas fakta tersembunyi dari setiap buah dan sayuran. Tidak hanya seputar khasiat maupun manfaatnya, tapi diulas juga berbagai racun yang ada di dalamnya. Tujuannya agar Anda bisa terus mengonsumsi buah dan sayuran dengan cara yang benar dan aman.        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '126 halaman', 'Dimensi': '24.5x16.1 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Dr. Dwi Budhi Susanto', 'Berat': '350 gram', 'Product Tags': ' \nbuku kesehatan\nc-klik media\ndr dwi budhi susanto\nkesehatan\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide447-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/fakta-buah-sayur-beracun.html
4,33 Daun Dahsyat Tumpas Berbagai Macam Penyakit,"Rp.71,200 ","
          Buku ini menjelaskan kepada pembaca bahwa daun-daun yang ada di sekitar kita memiliki khasiat yang dahyat. Beberapa contoh dari daun-daun tersebut adalah daun daun cocor bebek, daun kemangi, daun bayam, daun tapak kuda, dan masih banyak lagi.        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '182 halaman', 'Dimensi': '23x15 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Elshabrina', 'Berat': '350 gram', 'Product Tags': ' \nbuku kesehatan\nc-klik media\nelshabrina\nkesehatan\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide448-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/33-daun-dahsyat-tumpas-berbagai-macam-penyakit.html
5,Diet Gampang Tanpa Segudang Larangan,"Rp.72,000 ","
          Buku ini akan membahas lebih detail mengenai diet antilapar, apa manfaatnya bagaimana menjalani diet jenis ini, tips-tips penting untuk sukses menjalani diet antilapar, sekaligus bonus resep menu-menu diet yang tepat, sehat, dan menyenangkan. Jadi, tunggu apa lagi? Bagi Anda yang igin sehat, bugar, memiliki tubuh langsing serta cantik, mulailah menjalani diet jenis ini detik ini juga. Bersama buku ini, Anda akan dipandu menjalani diet secara lebih terkontrol, menyenangkan, serta bebas rasa lapar.        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '142 halaman', 'Dimensi': '17.5x24.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'Rosmauli Tiurma', 'Berat': '250 gram', 'Product Tags': ' \nbrilliant books\nbuku kesehatan\nkesehatan\nrosmauli tiurma\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide473-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/diet-gampang-tanpa-segudang-larangan.html
6,Bebas Diabetes Cara Alami & Natural,"Rp.37,600 ","
          Buku ini diterbitkan untuk memberi pengetahuan mendasar tentang diabetes. Yang menarik adalah memberikan bagaimana cara untuk mendeteksi, mencegah, serta mengobatinya secara alamiah dan natural. Dengan step by step yang mudah dipahami, buku ini bisa menjadi panduan untuk bebas dari diabetes.        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '136 halaman', 'Dimensi': '13x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Ecosystem', 'Penulis': 'Soedarsono', 'Berat': '300 gram', 'Product Tags': ' \nbuku kesehatan\necosystem\nkesehatan\nsoedarsono\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide635-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/bebas-diabetes-cara-alami-natural.html
7,Kitab Sehat Buah Dan Sayur Berkhasiat,"Rp.71,200 ","
          Buku ini berisi kumpulan pengetahuan mengenai buah dan sayur yang sehat dan bermanfaat.        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '180 halaman', 'Dimensi': '18x24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Bright Publisher', 'Penulis': 'Anggi Swastika', 'Berat': '400 gram', 'Product Tags': ' \nanggi swastika\nbright publisher\nbuku kesehatan\nkesehatan\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide60-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/kitab-sehat-buah-dan-sayur-berkhasiat.html
8,Makanan SehariHari Asam Urat,"Rp.46,400 ","
          Buku ini menyajikan resep makanan sehat yang dapat dikonsumsi oleh penderita Asam Urat. Disajikan pula berbagai pengetahuan yang harus dipahami oleh penderita Asam Urat agar tidak sembarangan dalam mengkonsumsi makanan.        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '96 halaman', 'Dimensi': '14 x 20.5 cm ', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Irena Manganti', 'Berat': '300 gram', 'Product Tags': ' \naraska publisher\nbuku kesehatan\nirena manganti\nkesehatan\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/agustus/Slide13-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/makanan-sehari-hari-asam-urat.html
9,Diet Sehat Berdasarkan Shio,"Rp.38,400 ","
          Dalam budaya masyarakat China, ada kewajiban untuk percaya pada shio. Shio dianggap sebagai pegangan, pedoman, atau petunjuk untuk mencari jodoh, rezeki, dan peruntungan, dan sebagainya. Dalam hal kesehatan, Shio sangat memperhatikan pola hidup sehat. Hal ini berguna untuk menjaga kesehatan sehari-hari. Shio menyarankan kita untuk menjaga pola hidup sehat dan berolahraga.           ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku novel\n gramedia\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/obral/Slide060-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/diet-sehat-berdasarkan-shio.html
