,nama,harga,deskripsi,detail,link gambar,link
0,Amazing Project Aplikasi Ujian Online Full Ajax,"Rp.44,000 ","
          Buku ini berisi teknik dasar menguasai Ajax dengan jQuery serta pembahasan bagaimana membangun aplikasi ujian online fullajax menggunakan PHP dan MySQLi, sehingga tidak akan ada loading dalam setiap aktivitas karena proses dilakukan secara Ajax. Selain itu dibahas juga langkah-langkah bagaimana aplikasi ini aman dan siap dijalanka di web browser.        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '170 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cv. Asfa Solution', 'Penulis': 'Rohi Abdulloh', 'Berat': '400 gram', 'Product Tags': ' \nbuku pemrograman\ncv asfa solution\npemrograman\nrohi abdulloh\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide315-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/amazing-project-aplikasi-ujian-online-full-ajax.html
1,Php Gila 2 65 Trik Aplikasi Master Php,"Rp.58,400 ","
          Buku ini membahasa berbagai hal yang dihadapi oleh para developer yang bisa dikatakan ini adalah Trik Ampuh para Master PHP, dibahas berbagai macam trik yang dibagi dalam 11 Konsentrasi, dimulai dari Trik Menguasai PH Excel. Eeditor WYSSIIWYG, PHP PDF dan lain-lain sebagainya.        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '196 halaman', 'Dimensi': '21x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cv. Asfa Solution', 'Penulis': 'Cv Asfa Solution', 'Berat': '500 gram', 'Product Tags': ' \nbuku pemrograman\ncv asfa solution\npemrograman\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide317-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/php-gila-2-65-trik-aplikasi-master-php.html
2,Membangun Aplikasi Sms Gateway Berbasis Web Codeigniter Dan Bootstrap,"Rp.55,200 ","
          SMS GATEWAY adalah suatu aplikasi yang memungkinan kita menerima/mengirim SMS sebagai pengganti perangkat telekomunikasi seperti handphone dan modem. SMS gateway ini bisa digunakan untuk melakukan otomatisasi pengelolaan SMS. Nah, buku ini membahas Aplikasi SMS Gateway yang yang menggunakan Codeigniter, Gammu, dan Bootstrap untuk mempercantik interface-nya. Buku ini juga menjelaskan pengenalan masing-masing Tools, Instalasi Driver Modem dan menghubungkannya dengan Daemon Gammu secara mendetail dilengkapi gambar Hardware dan cara memasangnya di Komputer bahkan untuk dicoba di Handphone secara langsung.        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '244 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Lokomedia', 'Penulis': 'Adami Chazawi', 'Berat': '400 gram', 'Product Tags': ' \nbuku pemrograman\nlokomedia\npemrograman\ntim lokomedia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide461-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/membangun-aplikasi-sms-gateway-berbasis-web-codeigniter-dan-bootstrap.html
3,Web Service Pembayaran Uang Kuliah Online Dengan Php & Soap Msdl,"Rp.57,600 ","
          Didalam buku ini dibahas dua buah sistem, yaitu Online Payment System BANK dan Sistem Keuangan Kampus, dimana kedua sistem tersebut terintegrasi dengan teknik Web Service, dalam kasus ini menggunakan SOAP WSDL. Sehingga ketika mahasiswa membayar kuliah melalui BANK, maka data transaksi pembayarannya juga sudah langsung tercatat di Sistem Keuangan Kampus.        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '170 halaman', 'Dimensi': '21x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Lokomedia', 'Penulis': 'Roki Aditama', 'Berat': '400 gram', 'Product Tags': ' \nbuku pemrograman\nlokomedia\npemrograman\nroki aditama\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide465-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/web-service-pembayaran-uang-kuliah-online-dengan-php-soap-msdl.html
4,Menguasai Angular Js untuk Membuat Website Dinamis,"Rp.44,000 ","
          Angular JS adalah salah satu standarasi untuk keperluan pembuatan Aplikasi Web Dinamis dari Sisi Cleint, karena kemudahan dan keepatnnya dalam melakukan komunikasi Server ke Client. Dan di dalam buku ini telah disusun secara sistematis dan step by step untuk menguasai Angular JS.        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '166 halaman', 'Dimensi': '21x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Lokomedia', 'Penulis': 'Lutfi Gani', 'Berat': '400 gram', 'Product Tags': ' \nbuku pemrograman\nlokomedia\nlutfi gani\npemrograman\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide467-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/menguasai-angular-js-untuk-membuat-website-dinamis.html
5,Cara Benar Dan Teruji Belajar Google Adsense,"Rp.36,000 ","
          Buku ini membahas Dasar-dasar Google AdSense (Cara mendaftar, mendapatkan PIN, membuat akun rupiah, aturan kebijakan, dan cara kerja Google AdSense, menghindari Banned AdSense dan Trik mendapat Google AdSense Full Approve).        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '102 halaman', 'Dimensi': '21x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Lokomedia', 'Penulis': 'Anhar', 'Berat': '500 gram', 'Product Tags': ' \nanhar\nbuku pemrograman\nlokomedia\npemrograman\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide052-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/cara-benar-dan-teruji-belajar-google-adsense.html
6,Mega Proyek Exclusive 50 Juta Php Mysqli Dan Bootstrap,"Rp.58,400 ","
          Dalam buku ini membahas bagaimana untuk membangun aplikasi kearsipan untuk Perusahaan Jasa Tenaga Kerja Indonesia (PJTKI), pembahasan dari mulai perancangan tabel dan pembuatan database, perancangan diagram konteks, DFD Level 0, DFD bertingkat, ERD, flowchart, konsep desain, dan cara penggunaan aplikasi.        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '189 halaman', 'Dimensi': '13x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Cv. Asfa Solution', 'Penulis': 'Agus Saputra', 'Berat': '500 gram', 'Product Tags': ' \nagus saputra\nbuku pemrograman\ncv. asfa solution\npemrograman\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide086-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/mega-proyek-exclusive-50-juta-php-mysqli-dan-bootstrap.html
7,Hacking Via Smartphone Dengan Kali Nethunter,"Rp.56,000 ","
          Membahas tentang testing keamanan jaringan pada perangkat nirkabel (wireless/wifi) yang telah disediakan secara khusus (scenario dan demo) untuk mengetahui celah keamanannya dengan menggunakan smartphone dan dengan sistem operasi Kali NetHunter.        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '138 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Langit Inspirasi', 'Penulis': 'Yosef Murya', 'Berat': '500 gram', 'Product Tags': ' \nbuku pemrograman\nlangit inspirasi\npemrograman\nyosef murya\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide098-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/hacking-via-smartphone-dengan-kali-nethunter.html
8,Trik Seo Dan Security Codeigniter,"Rp.48,000 ","
          Buku ini Mempelajari tentang Pembuatan Website Codeigniter serta SEO dan SECURITY-nya. Disertakan materi unggulan mengenai SECURITY di Codeigniter, topik yang belum pernah dibahas di buku Codeigniter yang saat ini beredar, namun topik ini sangat menarik, karena akan mengajarkan cara menghindari aksi hacking (SQL Injection, XSS, CSRF, RFI, BACKDOOR, SESSION DECODE, ENCRYPT dan DECRYPT) yang dilakukan ke website yang dibuat menggunakan Codeigniter.        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '104 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Lokomedia', 'Penulis': 'Anhar', 'Berat': '500 gram', 'Product Tags': ' \nanhar\nbuku pemrograman\nlokomedia\npemrograman\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide104-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/trik-seo-dan-security-codeigniter.html
9,Proyek Aplikasi Android Dengan Visual Studio Xamarin & Codeigniter,"Rp.68,000 ","
          Mempelajari tentang Pembuatan Aplikasi Android menggunakan Visual Studio Xamarin sebagai Front-End dan Codeigniter sebagai Back-End (Web Admin).        ","{'Kategori': 'Pemrograman', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '222 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Lokomedia', 'Penulis': 'Ipung Purwono', 'Berat': '500 gram', 'Product Tags': ' \nbuku pemrograman\nipung purwono\nlokomedia\npemrograman\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide150-cr-500x500.jpeg,https://www.solusibuku.com/pemrograman/proyek-aplikasi-android-dengan-visual-studio-xamarin-codeigniter.html
