,nama,harga,deskripsi,detail,link gambar,link
0,Rahasia Menjadi Pribadi yang Positif,"Rp.34,800 ","
          Buku inia dalah buku pengembangan kepribadian positif. Melalui buku ini, anda akan menemukan cara-cara menjadi orang positif dan dicintai orang lain. Tulisan dalam buku ini berdasarkan atas data empiris yang valid dan tidak hanya dibangun dari teori.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '220 halaman', 'Dimensi': '20.5x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Been Rafanani', 'Berat': '300 gram', 'Product Tags': ' \naraska publisher\nbeen rafanani\nbuku pengembangan diri\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide061-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/rahasia-menjadi-pribadi-yang-positif.html
1,Menjadi Pribadi Memikat  Berpengaruh & Percaya Diri Di Segala Situasi,"Rp.31,600 ","
          Memaparkan teknik-teknik agar jadi orang yang mampu memikat orang lain, berpengaruh di lingkungan manapun, serta percaya diri di segala situasi.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '168 halaman', 'Dimensi': '20.5x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Hari Laksana', 'Berat': '200 gram', 'Product Tags': ' \naraska publisher\nbuku pengembangan diri\nhari laksana\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide077-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/menjadi-pribadi-memikat-berpengaruh-percaya-diri-di-segala-situasi.html
2,Cepat Sukses Cepat Kaya,"Rp.34,800 ","
          Buku ini menyajikan sepuluh jurus sakti melejitkan karir dan tiga puluh jurus sakti melejitkan bisnis. Dengan pemaparan yang naratif, buku ini dapat dengan cepat diserap oleh pembaca. Dengan demikian, pembaca akan memperoleh manfaat sehingga dengan mudah mempraktikkannya untuk mendapatkan kesuksesan dan kekayaan yang pembaca impikan.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '196 halaman', 'Dimensi': '20.5x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Adrian Harimurti', 'Berat': '200 gram', 'Product Tags': ' \nadrian harimurti\naraska publisher\nbuku pengembangan diri\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide088-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/cepat-sukses-cepat-kaya.html
3,Prophetic Entrepreneurship,"Rp.31,200 ","
Buku ini mengajarkan tentang bagaimana cara perniagaan atau berdagang ala Muhammad Rasulullah SAW. Di dalamnya berisi Prophetic Entrepreneurship dimana terdapat anjuran dan teladan Nabi Muhammad saat menjalankan perdagangan.
","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '200 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'H. S. Abdullah', 'Berat': '300 gram', 'Product Tags': ' \nbrilliant books\nbuku motivasi\nh s abdullah\nmotivasi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide158-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/prophetic-entrepreneurship.html
4,Jatuh Bangun Bos Bos Startup,"Rp.34,400 ","
          Buku ini berisi tentan cerita-cerita para pendiri Perusahaan Start Up yang biasanya mendapatkan cemoohan ketika baru pertama kali melakukan bisnis. Nah, belejar kegagalan inilaha para Bos Start Up ini mampu menjadikan pengalaman pahit sebagai salah satu cambuk untuk terus maju & maju.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '168 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Lauma Kiwe', 'Berat': '500 gram', 'Product Tags': ' \nbuku pengembangan diri\nchecklist\nlauma kiwe\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide294-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/jatuh-bangun-bos-bos-startup.html
5,Jatuh Bangun Pengusaha Sukses Dunia,"Rp.44,000 ","
          Berisi ulasan tentang kisah perjalanan hidup para pengusaha sukses dunia, mulai dari masa kecil yang tidak punya apa-apa hingga dewasa dan akhirnya menjadi salah satu pengusaha yang sangat disegani. Tidak hanya menceritakan kisah suksesnya, tapi juga jatuh-bangun mereka dalam menaklukkan segala tantangan yang ada. Selain itu, karya ini dilengkapi dengan ilustrasi yang sederhana tapi menarik dan mengena, serta ditulis dengan lugas sehingga enak dibaca. Buku ini dirancang khusus untuk membangkitkan semangat masyarakat Indonesia, khususnya para pemuda, melalui kisah nyata perjuangan para pengusaha sukses dunia.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '280 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Anki Novairi', 'Berat': '400 gram', 'Product Tags': ' \nanki novairi\nbuku pengembangan diri\nchecklist\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide297-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/jatuh-bangun-pengusaha-sukses-dunia.html
6,no name,,,{},https://www.facebook.com/tr?id=710542649353860&ev=PageView&noscript=1,https://www.solusibuku.com/pengembangan-diri/ridwan-kamil-kisah-perjuangan-inspirasi.html
7,Kata Kata Jack Ma,"Rp.39,200 ","
Buku berisi kutipan dna kata-kata yang sering diucapkan dan dipraktikan oleh Jack MA dalam menjalankan bisnis online terbesar di dunia yakni Alibaba.com. Sebagai seorang pebisnis, Jack Ma memang senang berpikir filosofis. Itu tidak terlepas dari latar belakang kehidupannya yang hidup dalam kemiskinan, namun Jack Ma bisa bangkit dan menekuni apa yang ia senangi yakni perdagangan via online.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '156 halaman', 'Dimensi': '18x12 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Ecosystem', 'Penulis': 'Aristo Farela', 'Berat': '400 gram', 'Product Tags': ' \naristo farela\nbuku pengembangan diri\necosystem\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide343-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/kata-kata-jack-ma.html
8,Steve Jobs Secret,"Rp.40,000 ","
          Mau cerita dibalik sukses pendiri APPLE CORP, Steve Jobs ?? Buku STEVE JOBS SECRET ini memuat berbagai hal mengenai rahasia Steve Jobs ketika mulai mendirikan Apple hingga sukses menjadi salah satu brand tercanggih di dunia. Rahasia tidak hanya berupa ilmu teknologi yang ia dimiliki tapi juga tentang filosofi dan pemikiran Steve Jobs dalam menciptkan sebuah produk teknologi.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '168 halaman', 'Dimensi': '21.5x14.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Ecosystem', 'Penulis': 'Ms Anderson', 'Berat': '400 gram', 'Product Tags': ' \nbuku pengembangan diri\necosystem\nms anderson\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide345-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/steve-jobs-secret.html
9,Super Leadership Quotes,"Rp.44,000 ","
          Buku Super Leaderhip Qoutes ini berisi 200 kutipan Dahsyat tentang Kepemimpinan. Ada sederet nama pemimpin dunia yang turut ditulis di dalam buku ini mulai dari Napoleon Bonaparte, Nelson Mandela, John F Kennedy, Toni Blair, Soeharto hingga Presiden kita saat ini Joko Widodo. Meskipun hanya berupa kumpulan kutipan buku ini sangat layak untuk dibaca karena amat jarang buku yang berisikan kumpulan kutipan terpilih pemimpin dunia.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '194 halaman', 'Dimensi': '14x24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Octopus', 'Penulis': 'Yoan Gunawan', 'Berat': '500 gram', 'Product Tags': ' \nbuku pengembangan diri\noctopus\npengembangan diri\nyoan gunawan\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide481-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/super-leadership-quotes.html
